id,name,continent_id
1,Lesotho,1
2,South Africa,1
3,Swaziland,1
4,Botswana,1
5,Zambia,1
6,Zimbabwe,1
7,Malawi,1
8,Mozambique,1
9,Angola,1
10,Namibia,1
11,Tanzania,1
12,DRC,1
13,Madagascar,1
14,Seychelles,1
15,Mauritius,1
16,Kenya,1
17,Uganda,1
18,Rwanda,1
19,Burundi,1
20,South Sudan,1
21,Djibouti,1
22,Eritrea,1
23,Ethiopia,1
24,Somalia,1
25,Comoros,1
26,Reunion,1
27,Mayotte,1
28,Sudan,1
29,Benin,1
30,Burkina Faso,1
31,Cape Verde,1
32,C̫te d'Ivoire,1
33,Gambia,1
34,Ghana,1
35,Guinea,1
36,Guinea-Bissau,1
37,Liberia,1
38,Mali,1
39,Mauritania,1
40,Niger,1
41,Nigeria,1
42,Senegal,1
43,Sierra Leone,1
44,Togo,1
45,Chad,1
46,Tunisia,1
47,Libya,1
48,Central African Republic,1
49,Sao Tome Principe,1
50,Equatorial Guinea,1
51,Cameroon,1
52,Morocco,1
53,Algeria,1
54,Egypt,1
55,Afghanistan,2
56,Armenia,2
57,Azerbaijan,2
58,Bahrain,2
59,Bangladesh,2
60,Bhutan,2
61,Brunei,2
62,Cambodia,2
63,China,2
64,Cyprus,2
65,Georgia,2
66,India,2
67,Indonesia,2
68,Iran,2
69,Iraq,2
70,Israel,2
71,Japan,2
72,Jordan,2
73,Kazakhstan,2
74,Kuwait,2
75,Kyrgyzstan,2
76,Laos,2
77,Lebanon,2
78,Malaysia,2
79,Maldives,2
80,Mongolia,2
81,Myanmar,2
82,Nepal,2
83,North Korea,2
84,Oman,2
85,Pakistan,2
86,Palestine,2
87,Philippines,2
88,Qatar,2
89,Russia,2
90,Saudi Arabia,2
91,Singapore,2
92,South Korea,2
93,Sri Lanka,2
94,Syria,2
95,Taiwan,2
96,Tajikistan,2
97,Thailand,2
98,Timor-Leste,2
99,Turkey,2
100,Turkmenistan,2
101,United Arab Emirates (UAE),2
102,Uzbekistan,2
103,Vietnam,2
104,Yemen,2
105,Albania,3
106,Andorra,3
107,Armenia,3
108,Austria,3
109,Azerbaijan,3
110,Belarus,3
111,Belgium,3
112,Bosnia and Herzegovina,3
113,Bulgaria,3
114,Croatia,3
115,Cyprus,3
116,Czechia,3
117,Denmark,3
118,Estonia,3
119,Finland,3
120,France,3
121,Georgia,3
122,Germany,3
123,Greece,3
124,Hungary,3
125,Iceland,3
126,Ireland,3
127,Italy,3
128,Kazakhstan,3
129,Kosovo,3
130,Latvia,3
131,Liechtenstein,3
132,Lithuania,3
133,Luxembourg,3
134,Malta,3
135,Moldova,3
136,Monaco,3
137,Montenegro,3
138,Netherlands,3
139,North Macedonia,3
140,Norway,3
141,Poland,3
142,Portugal,3
143,Romania,3
144,Russia,3
145,San Marino,3
146,Serbia,3
147,Slovakia,3
148,Slovenia,3
149,Spain,3
150,Sweden,3
151,Switzerland,3
152,Turkey,3
153,Ukraine,3
154,United Kingdom (UK),3
155,Vatican City (Holy See),3
156,Argentina,4
157,Bolivia,4
158,Brazil,4
159,Chile,4
160,Colombia,4
161,Ecuador,4
162,Guyana,4
163,Paraguay,4
164,Peru,4
165,Suriname,4
166,Uruguay,4
167,Venezuela,4
168,Antigua and Barbuda,5
169,Bahamas,5
170,Barbados,5
171,Belize,5
172,Canada,5
173,Costa Rica,5
174,Cuba,5
175,Dominica,5
176,Dominican Republic,5
177,El Salvador,5
178,Grenada,5
179,Haiti,5
180,Honduras,5
181,Jamaica,5
182,Mexico,5
183,Nicaragua,5
184,Panama,5
185,Saint Kitts and Nevis,5
186,Saint Lucia,5
187,Saint Vincent and the Grenadines,5
188,Trinidad and Tobago,5
189,United States of America (USA),5
190,Australia,6
191,Fiji,6
192,Kiribati,6
193,Marshall Islands,6
194,Micronesia,6
195,Nauru,6
196,New Zealand,6
197,Palau,6
198,Papua New Guinea,6
199,Samoa,6
200,Solomon Islands,6
201,Tonga,6
202,Tuvalu,6
203,Vanuatu,6